symbol,growth,death,rank
601939.SSE,1.030664423825777,0.7736192143973502,1.3322632176718427
000830.SZSE,1.0232673831819459,0.7710227247285151,1.3271559324561397
300641.SZSE,0.9626410191197863,0.7586567313604775,1.2688756051679784
000612.SZSE,0.9119956225386678,0.7689245152477151,1.1860665181742336
002352.SZSE,0.9180702827963465,0.7765206973611689,1.1822869447217597
000875.SZSE,1.1120238420678918,0.9515460964085785,1.1686494708611646
003015.SZSE,0.9806791810236364,0.8460739659505037,1.1590939096227992
300218.SZSE,0.8981441435406752,0.7892827250298358,1.1379244915143991
001872.SZSE,0.9428391225838482,0.8446029038583927,1.1163105386882803
200771.SZSE,0.9847620843402494,0.8964195195409944,1.0985504698118245
002303.SZSE,0.9403849748438211,0.865245092235199,1.0868423100956428
002073.SZSE,1.040530366783098,0.9583450905780495,1.0857574969737431
000960.SZSE,0.8848230595924083,0.8151791662920788,1.085433848385885
300251.SZSE,0.9592121704316703,0.8923952033427525,1.0748737407357563
000887.SZSE,0.9269649782113154,0.8692427687296232,1.066405164999016
300563.SZSE,0.8856542459296737,0.835806852667599,1.0596398475353241
002228.SZSE,0.9462965004735155,0.8938788542995793,1.0586406602212437
002215.SZSE,0.9543148426288897,0.9063040556495118,1.0529742603269832
000703.SZSE,1.1021438534025094,1.0555679096452935,1.0441240618738277
300718.SZSE,0.8808394612460226,0.8458817238834153,1.0413269803278378
002521.SZSE,0.8381128459251164,0.810614415180871,1.0339229481110446
601225.SSE,0.8627201167693053,0.8365700758876327,1.0312586376627522
002286.SZSE,0.9549817139627543,0.926480421322907,1.030762973489662
601166.SSE,0.7507224094653537,0.7298357128564872,1.0286183537485698
300115.SZSE,0.8726277456254838,0.8490171060980705,1.0278093802325416
000601.SZSE,0.8685510903244875,0.8461780188097926,1.0264401473654021
002051.SZSE,0.9023726833270711,0.8823296343421706,1.0227160555474755
000776.SZSE,1.1335103849248123,1.113180879309084,1.0182625357599981
000722.SZSE,0.8267544852581294,0.8127563539197618,1.0172230352563318
002367.SZSE,0.9543615888550969,0.9402942487537109,1.0149605723102435
002024.SZSE,0.9642941217339849,0.9520962847679544,1.0128115582018087
002035.SZSE,0.8859803189578799,0.8765934198483536,1.0107083841801483
002942.SZSE,0.8542683125802808,0.8456422307181605,1.0102006280537748
002774.SZSE,0.8580704835026158,0.8515772673309527,1.0076249289650654
600282.SSE,0.9224453332602405,0.9160391597254027,1.0069933402593378
002753.SZSE,0.8397433791922798,0.8342597847065323,1.0065730058984883
603993.SSE,0.8776564258430015,0.8725236089444567,1.0058827255170255
000895.SZSE,1.0450514366602937,1.0406250433511797,1.004253590990718
002098.SZSE,0.8666822459533732,0.8650709890420589,1.001862571894936
002969.SZSE,0.8972859862898324,0.8958000534709842,1.0016587773276977
000788.SZSE,0.8494158677648276,0.8497227432812076,0.9996388521799534
601088.SSE,0.9217686505585507,0.9258530239675511,0.9955885293850447
002811.SZSE,0.9353512508408235,0.940812354316179,0.994195331884938
